BeamSystem,SystemKValue,Length(mm),Breadth(mm),fck(MPa),EmodBasic(MPa),SDL(N/mm),LL(N/mm),fctm(MPa),AnalyticalSolUNCR,AnalyticalSolCR,EC2Sol,EC2LOverD,,AsAnSolCR,AsPAnSolCR,AsEC2Sol,AsPEC2Sol,AsEC2LOverD,AsPEC2LOverD
SS,1,6000,260,26,31800,39.3,24,2.63,367,445,447,442,,2747,1464,2734,1444,2718,1421
SS,1,6000,280,43,35900,42.45,12,3.68,343,462,497,443,,2373,0,2123,0,2856,939
SS,1,6000,260,40,35200,50.85,24,3.51,382,457,457,443,,3164,1129,3167,1134,3150,1105
SS,1,6000,250,36,34300,33.3,12,3.27,337,425,490,443,,2130,506,1875,0,2382,950
SS,1,6000,300,38,34800,45,30,3.39,357,435,435,443,,3391,1280,3394,1286,3394,1286
SS,1,6000,280,40,35200,38.85,24,3.51,346,412,422,443,,3028,1073,2960,955,3013,1047
SS,1,6000,270,34,33800,34.2,24,3.15,342,412,412,442,,2800,1197,2803,1202,2786,1174
SS,1,6000,280,31,33100,56.25,12,2.96,384,435,477,442,,2994,1387,2735,957,2997,1392
SS,1,6000,300,33,33600,50.25,24,3.09,369,437,437,442,,3292,1447,3295,1453,3276,1422
SS,1,6000,280,42,35700,57.9,24,3.62,385,457,457,443,,3457,1156,3461,1162,3442,1130
SS,1,6000,300,35,34100,47.25,30,3.21,364,442,445,442,,3406,1425,3390,1399,3390,1399
SS,1,6000,260,40,35200,50.4,12,3.51,373,455,520,443,,2668,645,2376,39,2884,1034
SS,1,6000,260,35,34100,38.1,24,3.21,356,430,430,442,,2836,1172,2839,1177,2839,1177
SS,1,6000,250,34,33800,40.05,18,3.15,362,425,430,442,,2665,1131,2637,1085,2668,1136
SS,1,6000,290,26,31800,40.95,18,2.63,354,412,412,442,,2789,1472,2792,1477,2774,1451
SS,1,6000,290,37,34500,31.65,12,3.33,316,432,475,443,,2076,102,1829,0,2549,991
SS,1,6000,280,25,31500,56.1,30,2.56,402,495,495,442,,3273,1781,3276,1785,3276,1785
SS,1,6000,300,38,34800,47.1,12,3.39,350,452,507,443,,2593,389,2299,0,2992,1124
SS,1,6000,260,41,35400,58.95,18,3.57,394,460,480,443,,3204,1106,3080,884,3207,1111
SS,1,6000,280,45,36300,47.4,12,3.8,354,470,507,444,,2530,0,2250,0,2974,879
SS,1,6000,300,29,32600,48.15,18,2.83,364,420,427,442,,3054,1505,3002,1424,3020,1452
SS,1,6000,260,42,35700,58.35,30,3.62,399,490,490,443,,3458,1155,3461,1160,3461,1160
SS,1,6000,270,26,31800,53.1,12,2.63,387,440,447,442,,2806,1490,2760,1421,2809,1494
SS,1,6000,290,29,32600,58.5,24,2.83,394,470,470,442,,3330,1636,3334,1641,3334,1641
SS,1,6000,280,43,35900,46.95,12,3.68,354,465,507,443,,2529,131,2252,0,2947,945
SS,1,6000,260,38,34800,53.55,30,3.39,392,482,485,443,,3322,1273,3308,1250,3308,1250
SS,1,6000,280,25,31500,35.7,18,2.56,346,402,405,442,,2624,1434,2609,1413,2609,1413
SS,1,6000,260,30,32800,56.7,24,2.9,403,487,487,442,,3125,1489,3128,1494,3112,1469
SS,1,6000,300,35,34100,54.45,30,3.21,379,460,460,442,,3543,1476,3546,1481,3546,1481
SS,1,6000,300,33,33600,46.5,18,3.09,357,410,445,443,,3079,1362,2841,964,3044,1306
SS,1,6000,260,42,35700,41.7,18,3.62,355,412,475,443,,2856,949,2506,282,2841,924
SS,1,6000,250,27,32000,48,24,2.7,393,477,477,442,,2860,1476,2862,1480,2847,1457
SS,1,6000,260,39,35000,35.7,12,3.45,337,440,492,443,,2179,278,1920,0,2511,897
SS,1,6000,300,33,33600,50.55,30,3.09,373,455,455,442,,3425,1500,3429,1505,3429,1505
SS,1,6000,270,37,34500,54.15,12,3.33,379,447,510,443,,2849,941,2531,333,2965,1141
SS,1,6000,260,42,35700,41.25,12,3.62,349,455,502,443,,2337,213,2073,0,2705,916
SS,1,6000,280,30,32800,57.75,30,2.9,399,490,490,442,,3393,1621,3396,1626,3396,1626
SS,1,6000,270,45,36300,52.5,18,3.8,373,435,500,443,,3161,911,2789,172,3200,981
SS,1,6000,280,45,36300,33.3,12,3.8,319,440,475,443,,2054,0,1841,0,2645,817
SS,1,6000,280,35,34100,46.95,24,3.21,368,440,440,442,,3135,1298,3138,1303,3138,1303
SS,1,6000,270,35,34100,42.15,30,3.21,366,452,452,443,,3109,1282,3112,1287,3095,1259
